,samples,method,return,Dev. MF,Dev. Policy
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.13468016528264,1.304897561563008,0.5952396018808332
1,3,MFIRL,20.960160042983887,0.8902295476723071,0.8991290678890863
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.104392616776366,0.46531370739350975,0.6400837469096949
1,4,MFIRL,21.352013069113053,0.8741037540171426,0.36484779265775885
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.28467772546252,1.2067144746749137,0.429069282851246
1,5,MFIRL,21.430755543867768,1.0513326008047688,0.2712196830119645
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.37815093793275,0.5432418120034312,0.3310764227730432
1,6,MFIRL,21.35288042498414,0.6444808394172745,0.38239989886531567
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.059533528720983,0.8279452411603632,0.6584345746667952
1,7,MFIRL,21.33426998992891,0.7970038266009777,0.3984189410980221
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.39889101886585,0.7008925723905655,0.3121805376485558
1,8,MFIRL,21.411199065246176,0.8130400596323615,0.312706316377355
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.37791567322804,1.1674660331684552,0.3437904432703354
1,9,MFIRL,21.324640786091337,0.5176979068822485,0.40013810672612693
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,20.738298775796146,0.7079727691103718,1.0674589241705412
1,10,MFIRL,21.26981065432206,1.3335548387577794,0.4713771816742137
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.36287129719335,0.5972027665432659,0.37466154326874923
1,1,MFIRL,21.426796055079045,1.1185188650710052,0.28129098808845243
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.300948550530038,0.745702719025968,0.44699991141599466
1,2,MFIRL,21.280789747548123,1.8019438274718436,0.4088405290670833
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.38303371672224,0.763653035252631,0.32915981979761477
1,3,MFIRL,21.474647437988647,0.24210955898719716,0.24939879907769125
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.45999441078682,0.5077685508015054,0.26127032747163603
1,4,MFIRL,21.40020338618148,1.2947258840721507,0.2942557596626033
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.358916810739018,0.49378912710518896,0.3664963544092709
1,5,MFIRL,21.40223588445074,1.1148699821259194,0.3152706970028844
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.07051758223426,0.7256030665303923,0.6719183439284222
1,6,MFIRL,21.401346937734502,1.1500701600803678,0.3001094605534915
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.457530897697026,0.5691456544846654,0.2642813044560072
1,7,MFIRL,21.365689705742938,1.0033131266663349,0.3482915390743229
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.280144000942716,0.9315408390858247,0.4524855973348988
1,8,MFIRL,21.22876595441355,0.4895292059593377,0.5323546873840138
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.289917315101324,1.2526912017549117,0.46215653491588393
1,9,MFIRL,21.427000556674408,0.6251535333697492,0.3136291362309668
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.357304076083235,0.8636865634040868,0.37098920048792416
1,10,MFIRL,21.3440146593661,1.1196873896493953,0.3749247408409886
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.240155412777636,0.506837103255819,0.5189870736405091
1,1,MFIRL,21.148199874074407,0.9855391911778628,0.6077835888886971
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.26992047695828,0.8247090365526988,0.46554014386554876
1,2,MFIRL,21.480388709228247,0.5680752071034233,0.22474772853542554
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.34282302595062,0.42358988844312273,0.3825553753972606
1,3,MFIRL,21.331416957652575,0.9014180301451853,0.39138294070978535
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.367061572340308,1.296378940615983,0.338635537965803
1,4,MFIRL,21.487446680741243,0.49863985869388366,0.21295284913194742
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.285234985241367,0.7411914885361379,0.445045435002275
1,5,MFIRL,21.445021980486324,0.576822513689882,0.2859808856438813
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.139427506490897,1.0036780414360742,0.5780173813176822
1,6,MFIRL,21.3860723421857,0.9968032889706318,0.31845781560797526
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.408633471148192,0.3293292953705486,0.31428451770312016
1,7,MFIRL,21.36643781116357,1.003017368373894,0.33944196385329073
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.397692931376437,0.6095398837028365,0.31031009349707656
1,8,MFIRL,21.433783492654193,0.4585602457384794,0.27485416612785374
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.30467968054391,0.743801368443253,0.4163531409864149
1,9,MFIRL,21.50632177266897,1.0153896995364309,0.1983126836832142
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.31723452077027,0.4523449664201572,0.42317540633820894
1,10,MFIRL,21.40925663686621,1.270057623543743,0.3138641091133864
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.11046453703354,0.6948041794339206,0.6646312253364413
1,1,MFIRL,21.427542564374612,0.43088354929333833,0.31062426947131244
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.349157147215536,1.0992640137941878,0.3605635408855231
1,2,MFIRL,21.275434748470115,0.8372316069450187,0.4267276967093129
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.308974486712994,2.2601342988338504,0.40008198168430364
1,3,MFIRL,21.477852692968344,0.377062592197865,0.24316484546568073
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.227094396314296,0.8952993651275596,0.482938555931835
1,4,MFIRL,21.3414800691772,0.9729231020088195,0.4118246858151239
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.27932412961282,1.348815852879275,0.4488784853695082
1,5,MFIRL,21.469563160818954,0.888849212259963,0.2300375802124303
2,5,EXPERT,21.691489980170484,0.0,0.0
