,samples,method,return,Dev. MF,Dev. Policy
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.543915824140608,7.154233669060905,0.4666144605455479
1,13,MFIRL,12.87374781962429,8.177958325001722,0.1797533750760584
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.602072771952324,4.1665158051236215,0.27295999257064074
1,14,MFIRL,12.872195586890788,8.62111139254571,0.06222017031557751
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,11.98754367441484,6.210937872901864,0.362388479327275
1,15,MFIRL,12.943539350577163,5.049271433883826,0.05132016208616387
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.1556398591291,4.987695158363259,0.6384751598199946
1,7,MFIRL,13.009717676241642,5.409613385689903,0.04230919579176685
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.674927943063969,15.057691804792437,0.15939986212168128
1,8,MFIRL,12.434629599871215,8.513290327219352,0.23093462846956367
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.75249478146766,8.418600025827654,0.06519183847041715
1,9,MFIRL,12.571091666381136,12.530541263338932,0.19682723842587063
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.9253957074501,5.092735149611113,0.14782819577783354
1,10,MFIRL,12.937582836714073,8.783158977816353,0.3064899250530245
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.90767250683242,5.827136982940669,0.09829975761574983
1,11,MFIRL,12.75962693784549,8.39316671867652,0.11232335194129309
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.633946462859317,5.686649243852633,0.13847580938156237
1,12,MFIRL,12.79372064863525,6.31847255608135,0.12381671239630361
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.78819518817184,3.9215005842493027,0.35185483374061005
1,13,MFIRL,12.897272324901204,8.170631466632095,0.02567415835701376
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.753616634997709,4.324242208633503,0.12345916248372645
1,14,MFIRL,13.124571249231357,4.6848920522359085,0.14699602425385225
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.648361788164197,9.96134240666259,0.27255514238757317
1,15,MFIRL,12.828552975428494,7.137949445183377,0.1623273588038426
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.82008259171894,5.604674848250564,0.16738929421303123
1,7,MFIRL,12.632824980462317,7.108447811585588,0.32972604809322015
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.700659707853976,7.257347896181491,0.19703146653719525
1,8,MFIRL,12.896991664668699,5.295778067427466,0.03913475507425132
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.37365942762557,4.979765405629147,0.5276298991578223
1,9,MFIRL,12.885005366115305,6.306975767385108,0.03187822516810082
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,13.056881104545615,6.242755764799748,0.27764279667458375
1,10,MFIRL,12.614566340983947,6.8432986312717805,0.11997982558279988
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.79849411280279,5.204003499865767,0.4540385393820249
1,11,MFIRL,12.438864528477584,6.973595131067992,0.25162024284460904
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.232534970331747,9.270801616478815,0.44646162275930795
1,12,MFIRL,12.981782770932787,9.799431377170173,0.0997216320161627
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.723482117963606,7.346084944103423,0.1988377978762355
1,13,MFIRL,12.857515676822992,8.668929191554525,0.0856838550817552
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.738237992487916,5.632238551947546,0.1882120266654764
1,14,MFIRL,12.8896406336987,8.898595728996353,0.21716352130218758
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.974600315997542,7.742905943315074,0.060007424270573616
1,15,MFIRL,12.695274282889082,6.554495474852228,0.17736450963775452
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.66579960062832,10.629024539770098,0.11457798957052776
1,7,MFIRL,12.976805941824708,4.596397595918334,0.03402311212399223
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,13.007061339515326,6.5729925221475245,0.07306425970822569
1,8,MFIRL,13.024923119241144,5.979227926805359,0.2094967885964801
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.731313425621904,7.172133173938107,0.05831887803806196
1,9,MFIRL,12.979700721957922,5.105247169446088,0.1967807841541506
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.594846754354167,5.446305412663905,0.4189159444933752
1,10,MFIRL,12.5205286517756,7.919027515209707,0.09612628665847568
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.66270608699112,10.428906235595587,0.1125535044355377
1,11,MFIRL,12.795697611866965,8.524848070578809,0.15507093211467965
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.821442615512165,9.736262773509434,0.17465618828664942
1,12,MFIRL,13.168796792346974,8.58637524064574,0.033009385380855225
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.76610521960965,8.9419840579657,0.20583520658089494
1,13,MFIRL,12.855225411935933,4.753911399483426,0.2625643004695155
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.328079688366916,7.922788670382802,0.3371534478505328
1,14,MFIRL,13.20689621092689,7.952706621132913,0.10329405366554387
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.715366303654223,10.383734421837033,0.14135145238751282
1,15,MFIRL,13.419817183251245,5.896685128909139,0.055058956576953116
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.45135999045268,4.829913925517896,0.38578158419754366
1,7,MFIRL,12.197714130772598,7.301187255318396,0.2719688876694508
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.623283921808113,4.725864162444934,0.1941461558446598
1,8,MFIRL,12.745248684844565,6.842380104957248,0.21596840775407966
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.234307642335576,4.146167546205957,0.58911430817773
1,9,MFIRL,12.53368022651865,6.16078716473111,0.09170968388918312
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.659051027746113,7.348262979274303,0.03145854683605378
1,10,MFIRL,13.035672112767001,9.225713490982365,0.03898448890157244
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.695004664977992,8.113820231179307,0.3287117615218421
1,11,MFIRL,12.813413147016604,8.497700530945584,0.19515099157059232
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.657271010008495,4.881021554381182,0.5111055566622842
1,12,MFIRL,12.315761632609508,4.354136023536803,0.6688696131850898
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,13.133928061961218,7.946805261628946,0.07238388008934324
1,13,MFIRL,12.660576882386708,6.121017413041184,0.20733388017373403
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,13.046095504302484,7.57641579309047,0.06729411974109675
1,14,MFIRL,12.76657246666557,6.377282622544115,0.06818541796395856
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,13.204078028433699,5.738748912537739,0.05042870173437079
1,15,MFIRL,13.06522069263311,6.272282549647312,0.09207880746085198
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.986402523217384,5.86613672055586,0.11689617591837527
1,7,MFIRL,13.059716010768696,8.927259438098256,0.16227464031208177
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.806834054544902,5.156494728697412,0.06357649442386241
1,8,MFIRL,13.130946002440657,7.095413728622286,0.11740623838479598
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,13.10353855584957,6.9415326711740875,0.13647301178173962
1,9,MFIRL,13.005376726488102,11.318523066736898,0.08934614302506066
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.938902448536444,5.228253782323753,0.11762128830843861
1,10,MFIRL,12.899387779146352,8.796831269379336,0.1681135287652035
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.914698218203888,5.850138258107798,0.1564601809765091
1,11,MFIRL,13.064884836197669,5.656268271663379,0.2019360305872321
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.980853716845,6.071974571899912,0.1855112865106317
1,12,MFIRL,12.877081816238167,4.084030270061274,0.18632106095516876
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,13.112629296326327,6.965808117102085,0.04426419658802477
1,13,MFIRL,13.049179560886051,6.7907389870070975,0.0737754184049797
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,13.0616487194233,5.145536418265654,0.12856563753002495
1,14,MFIRL,12.84565230584766,6.002295768600979,0.11574914850742705
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.226055255260807,10.025474347980602,0.1201295538859551
1,15,MFIRL,12.739733338611828,8.462899861882914,0.0474659685565233
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.515906740148205,7.668560741510754,0.9343382684316304
1,7,MFIRL,12.906944131080273,6.744567085216443,0.15886862057915174
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.4507297693501,7.97279256826154,0.7255939701249067
1,8,MFIRL,12.956163431341578,7.211502700592146,0.07204182024578407
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,13.021003165395022,7.292228523430862,0.13700643697453185
1,9,MFIRL,12.67953717751205,7.8250201713255,0.09584782920917621
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.78585027494618,6.398872225889878,0.06463226324404862
1,10,MFIRL,12.596596989321505,9.536938516332963,0.10253407039224705
